wahl_jahr;kanton_nummer;kanton_bezeichnung;partei_id;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;anzahl_listen;anzahl_kandidierende;anzahl_kandidierende_f;anzahl_kandidierende_m;anzahl_gewaehlte;anzahl_gewaehlte_f;anzahl_gewaehlte_m;letzte_wahl_anzahl_gewaehlte;letzte_wahl_anzahl_gewaehlte_f;letzte_wahl_anzahl_gewaehlte_m;differenz_anzahl_gewaehlte;differenz_anzahl_gewaehlte_f;differenz_anzahl_gewaehlte_m;fiktive_waehlende;letzte_wahl_fiktive_waehlende;differenz_fiktive_waehlende;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei;partei_rang
2019;19;Aargau;35;Übrige;Autres;Rimanenti;Others;6;41;12;29;0;0;0;0;0;0;0;0;0;4855.3763665;3880.5130614;975;2.5605689067;1.9602114836;0.6003574231;0;9
2019;20;Thurgau;1;FDP;PLR;PLR;FDP;3;18;9;9;0;0;0;1;0;1;-1;0;-1;8273.9437497;9937.2066961;-1663;11.453251962;13.007496068;-1.554244106;0;4
2019;20;Thurgau;2;CVP;PDC;PPD;CVP;3;18;10;8;1;0;1;1;0;1;0;0;0;9168.6007831;10029.918257;-861;12.691685861;13.128852633;-0.437166771;0;2
2019;20;Thurgau;3;SP;PS;PS;SP;3;18;11;7;1;1;0;1;1;0;0;0;0;9132.7407709;9697.0603234;-564;12.642046443;12.693151897;-0.051105454;0;3
2019;20;Thurgau;4;SVP;UDC;UDC;SVP;2;12;3;9;3;2;1;3;1;2;0;1;-1;26494.181351;30455.747885;-3962;36.674715675;39.865631558;-3.190915883;1;1
2019;20;Thurgau;7;EVP;PEV;PEV;EVP;2;12;7;5;0;0;0;0;0;0;0;0;0;1926.8891603;1792.4793015;134;2.667306876;2.3462999391;0.3210069369;0;8
2019;20;Thurgau;13;GPS;PES;PES;GPS;3;18;9;9;1;0;1;0;0;0;1;0;1;7656.9504557;4153.9465243;3503;10.599175615;5.4373874604;5.1617881541;0;5
2019;20;Thurgau;16;EDU;UDF;UDF;EDU;1;6;0;6;0;0;0;0;0;0;0;0;0;2058.2641583;2620.0220282;-562;2.8491634366;3.4295277609;-0.580364324;0;7
2019;20;Thurgau;31;GLP;PVL;PVL;GLP;3;18;8;10;0;0;0;0;0;0;0;0;0;5886.0691055;4711.7220365;1174;8.1478234043;6.1674983461;1.9803250582;0;6
2019;20;Thurgau;32;BDP;PBD;PBD;BDP;3;15;2;13;0;0;0;0;0;0;0;0;0;1643.3604657;2873.2216532;-1230;2.2748307273;3.7609582349;-1.486127508;0;9
2019;20;Thurgau;35;Übrige;Autres;Rimanenti;Others;;;;;;;;0;0;0;0;0;0;;124.67529452;-125;;0.1631961026;-0.163196103;;
2019;21;Ticino;1;FDP;PLR;PLR;FDP;1;8;3;5;2;0;2;2;0;2;0;0;0;22066.179041;27599.453915;-5533;20.526678178;23.729830461;-3.203152283;1;1
2019;21;Ticino;2;CVP;PDC;PPD;CVP;4;28;3;25;2;0;2;2;0;2;0;0;0;19563.682046;23354.934551;-3791;18.198773996;20.080420397;-1.881646401;0;2
2019;21;Ticino;3;SP;PS;PS;SP;3;20;10;10;1;1;0;1;1;0;0;0;0;15120.941711;18530.990839;-3410;14.065992289;15.932825057;-1.866832768;0;4
2019;21;Ticino;4;SVP;UDC;UDC;SVP;3;24;3;21;1;0;1;1;0;1;0;0;0;12533.138148;13147.268605;-614;11.658733161;11.303935795;0.3547973656;0;6
2019;21;Ticino;9;PdA/Sol.;PST/Sol.;PdL/Sol.;PdA/Sol.;1;8;3;5;0;0;0;0;0;0;0;0;0;892.70435688;605.19355189;288;0.8304226576;0.5203414686;0.310081189;0;10
2019;21;Ticino;13;GPS;PES;PES;GPS;2;12;8;4;1;1;0;0;0;0;1;1;0;13022.27189;4103.4265999;8919;12.113741293;3.5280994265;8.5856418669;0;5
